Generation, Iteration, Trial, Vl_1, Vr_1, Vl_2, Vr_2, Vl_3, Vr_3, Vl_4, Vr_4,Vl_5, Vr_5,Vl_6, Vr_6, Fitness Value
1,1,1,-0.848149,0.648559,-0.306185,-0.552722,0.63523,0.092333,-0.285804,-0.291803,-0.4193,-0.87586,0.28664,0.755921,13036576840522.63867
1,1,2,-0.848149,0.648559,-0.306185,-0.552722,0.63523,0.092333,-0.285804,-0.291803,-0.4193,-0.87586,0.28664,0.755921,13036576840522.63867
1,2,2,1.21507,0.0203307,0.374139,0.536064,1.09584,0.372749,-0.259633,-0.385786,-0.982323,-0.694831,-0.0406185,-0.568448,13638870962686.79883
1,2,1,1.21507,0.0203307,0.374139,0.536064,1.09584,0.372749,-0.259633,-0.385786,-0.982323,-0.694831,-0.0406185,-0.568448,20682157582999.92188
2,1,1,-1.1517,-0.331223,-0.495352,-0.907196,0.116925,-0.519126,0.784731,-0.767952,-0.299153,-1.37262,-0.509267,0.567495,20685450889834.77344
2,1,2,-1.1517,-0.331223,-0.495352,-0.907196,0.116925,-0.519126,0.784731,-0.767952,-0.299153,-1.37262,-0.509267,0.567495,31552030177119.71875
2,2,2,-0.2405,0.00750393,-0.971651,0.276283,0.253979,-0.804306,0.633902,-0.164399,0.274432,-1.08567,0.109137,1.75992,32271512040635.20312
2,2,1,-0.2405,0.00750393,-0.971651,0.276283,0.253979,-0.804306,0.633902,-0.164399,0.274432,-1.08567,0.109137,1.75992,32271496889735.25391
3,1,1,-0.572592,-0.220313,-0.123448,-1.69551,-0.49716,-1.36272,1.99102,-1.15823,-0.48864,-1.21877,-0.275188,0.99643,11796968173246.21875
3,1,2,-0.572592,-0.220313,-0.123448,-1.69551,-0.49716,-1.36272,1.99102,-1.15823,-0.48864,-1.21877,-0.275188,0.99643,15783509894599.80273
3,2,1,-2.69876,-0.564143,-0.050544,-1.82942,0.578464,0.287957,0.127026,0.246071,0.45825,-0.511719,-0.282184,0.392059,10754700267544.5918
3,2,2,-2.69876,-0.564143,-0.050544,-1.82942,0.578464,0.287957,0.127026,0.246071,0.45825,-0.511719,-0.282184,0.392059,15380727055008.37695
4,1,2,-2.31456,-0.23852,1.92248,-2.32352,-0.186875,0.536368,0.382561,0.35496,0.208425,-0.604177,-0.39924,2.47791,13510492023734.89844
4,1,1,-2.31456,-0.23852,1.92248,-2.32352,-0.186875,0.536368,0.382561,0.35496,0.208425,-0.604177,-0.39924,2.47791,13431387382332.02734
4,2,2,-2.15314,0.201981,-0.0215575,-2.30826,-0.0166327,-0.489593,0.534005,0.450126,0.444226,-1.31181,-0.593559,0.420543,24914666878895.98438
4,2,1,-2.15314,0.201981,-0.0215575,-2.30826,-0.0166327,-0.489593,0.534005,0.450126,0.444226,-1.31181,-0.593559,0.420543,11762084441781.87891
5,1,1,-3.13554,1.20268,3.22401,-2.87188,0.134775,0.613897,0.284161,0.766551,0.00351998,-1.0291,-0.813199,2.33338,20801340390649.37109
5,1,2,-3.13554,1.20268,3.22401,-2.87188,0.134775,0.613897,0.284161,0.766551,0.00351998,-1.0291,-0.813199,2.33338,32953482394968.63672
5,2,1,-2.87811,0.0987987,2.35851,-4.27544,-0.334802,0.360553,0.73897,0.543329,0.661282,-0.169543,-0.0110512,2.54459,14002664284183.80469
5,2,2,-2.87811,0.0987987,2.35851,-4.27544,-0.334802,0.360553,0.73897,0.543329,0.661282,-0.169543,-0.0110512,2.54459,32628915325601.29688
6,1,2,-2.29138,0.116389,2.21379,-2.69814,0.783129,-0.531751,0.713273,0.190017,0.318617,-0.0446818,0.653261,2.74632,13843127981559.625
6,1,1,-2.29138,0.116389,2.21379,-2.69814,0.783129,-0.531751,0.713273,0.190017,0.318617,-0.0446818,0.653261,2.74632,43078705107149.33594
6,2,2,-3.12035,0.646471,2.09841,-3.9897,-0.209308,1.36882,1.02548,0.421141,0.889926,-0.766218,-0.965746,2.52726,14313154824364.41602
6,2,1,-3.12035,0.646471,2.09841,-3.9897,-0.209308,1.36882,1.02548,0.421141,0.889926,-0.766218,-0.965746,2.52726,18343043509051.13281
7,1,2,-2.59177,1.59697,3.02796,-3.02259,-0.737714,1.46919,1.09939,0.804258,0.214738,0.0481522,-1.32742,2.73463,14139868507362.38477
7,1,1,-2.59177,1.59697,3.02796,-3.02259,-0.737714,1.46919,1.09939,0.804258,0.214738,0.0481522,-1.32742,2.73463,17521523478747.47656
7,2,1,-3.73493,0.0377515,1.50158,-4.97168,-1.01064,1.4113,1.27731,0.556501,0.425057,-1.00618,-0.467253,2.77445,29325515232208.50781
7,2,2,-3.73493,0.0377515,1.50158,-4.97168,-1.01064,1.4113,1.27731,0.556501,0.425057,-1.00618,-0.467253,2.77445,16116232692203.53711
8,1,1,-2.70378,2.17067,4.23189,-2.6143,0.545911,2.10424,2.20178,1.11266,0.0253893,-0.513893,-1.31141,2.89688,31917742261276.11328
8,1,2,-2.70378,2.17067,4.23189,-2.6143,0.545911,2.10424,2.20178,1.11266,0.0253893,-0.513893,-1.31141,2.89688,16857645759771.75586
8,2,1,-2.6137,0.774472,2.42201,-3.17947,0.485803,2.0802,1.35304,0.50414,-0.0685857,0.516244,-1.80194,0.619748,23862782634180.71094
8,2,2,-2.6137,0.774472,2.42201,-3.17947,0.485803,2.0802,1.35304,0.50414,-0.0685857,0.516244,-1.80194,0.619748,12380251000673.87891
9,1,1,-3.02107,-0.00550031,3.20812,-2.84464,-0.0246296,3.42831,0.587532,1.43506,0.0666855,0.897561,-1.77078,0.694191,26936724044628.83984
9,1,2,-3.02107,-0.00550031,3.20812,-2.84464,-0.0246296,3.42831,0.587532,1.43506,0.0666855,0.897561,-1.77078,0.694191,21943701243022.75
9,2,1,-3.0173,1.52774,1.96295,-3.37239,1.02281,3.2439,1.79755,0.740625,-0.284946,0.185824,-2.74441,0.0469931,18084928019019.51562
9,2,2,-3.0173,1.52774,1.96295,-3.37239,1.02281,3.2439,1.79755,0.740625,-0.284946,0.185824,-2.74441,0.0469931,22482025582592.69141
10,1,1,-1.97187,2.04241,3.34069,-4.0194,1.36957,3.04521,2.05652,0.132545,-1.05738,0.00843988,-2.20377,-0.111645,18084928019019.51562
10,1,2,-1.97187,2.04241,3.34069,-4.0194,1.36957,3.04521,2.05652,0.132545,-1.05738,0.00843988,-2.20377,-0.111645,22802418685967.10938
10,2,1,-2.87579,1.97721,1.20597,-2.14014,1.52353,2.63468,1.24436,0.64695,-1.09044,-0.882538,-3.14141,-0.197684,25335729645516.51172
10,2,2,-2.87579,1.97721,1.20597,-2.14014,1.52353,2.63468,1.24436,0.64695,-1.09044,-0.882538,-3.14141,-0.197684,20208009537498.62109
